 z     x     y     pID   elem_type  elem_sequence
   25.611024763333337       -2.0022896282216457E-002  -9.3112642459314504E-004          20           1         145
   25.611024763333337       -2.0051329414211463E-002  -6.5098714264497483E-004          46           1         145
   25.611024763333337       -2.0234781960021951E-002  -1.8638444469950787E-004         183           1         145
   25.611024763333337       -2.0171523956091401E-002  -5.1370273615715812E-004         238           1         145
   25.611024763333337       -2.0307731166869184E-002  -4.3803260781760407E-004         343           1         145
   25.611024763333337       -2.0080200590834294E-002  -8.0802025310030981E-004         442           1         145
   25.611024763333337       -2.0026232871859492E-002  -4.7859615459107483E-004         501           1         145
   25.611024763333337       -2.0114696174295951E-002  -1.5811328180018256E-004         851           1         145
   25.634358096666670       -2.0057708440494884E-002  -1.6759965647674959E-003          76           1         145
   25.634358096666670       -2.0570627722543026E-002  -3.3856091815789288E-004         318           1         145
   25.634358096666670       -2.0676227538123162E-002  -9.6035314904108844E-004         398           1         145
   25.634358096666670       -2.0257847730540346E-002  -9.6661616971871944E-004         421           1         145
   25.634358096666670       -2.0088472352190818E-002  -1.1877299578927261E-003         461           1         145
   25.634358096666670       -2.0300066858770675E-002  -2.1564940786363427E-004         505           1         145
   25.634358096666670       -2.0563021193869064E-002  -4.9330991769425613E-004         539           1         145
   25.634358096666670       -2.0274944528486476E-002  -7.2675295156728146E-004         564           1         145
   25.634358096666670       -2.0019166072295928E-002  -4.0585442317114681E-004         576           1         145
   25.634358096666670       -2.0188278509723701E-002  -1.2697785233137457E-003         606           1         145
   25.634358096666670       -2.0234523945086857E-002  -3.1483603151209115E-004         619           1         145
   25.634358096666670       -2.0429535764600937E-002  -2.9751946551665040E-004         648           1         145
   25.634358096666670       -2.0483348555532129E-002  -2.0479745985963277E-004         826           1         145
   25.634358096666670       -2.0375569128502472E-002  -1.4178482873020326E-003         891           1         145
   25.634358096666670       -2.0488345394255432E-002  -7.4613300514049725E-004         994           1         145
   25.657691430000003       -2.0305482186500416E-002  -1.0157871367085798E-003         116           1         145
   25.657691430000003       -2.0401800764699753E-002  -1.3179810496906884E-003         140           1         145
   25.657691430000003       -2.0717817266325787E-002  -3.7565017680957257E-004         173           1         145
   25.657691430000003       -2.0513092567594215E-002  -1.2586004463686173E-003         246           1         145
   25.657691430000003       -2.0502532994924133E-002  -1.8472313083186683E-003         288           1         145
   25.657691430000003       -2.0053363866697222E-002  -7.3955500047439735E-004         379           1         145
   25.657691430000003       -2.0300880470697474E-002  -1.3897760758206192E-003         395           1         145
   25.657691430000003       -2.0517781520685705E-002  -2.9041038052529444E-004         399           1         145
   25.657691430000003       -2.0810763891459857E-002  -1.6682267259909059E-003         437           1         145
   25.657691430000003       -2.0439578174737811E-002  -4.2396505794537728E-004         480           1         145
   25.657691430000003       -2.0280862315957045E-002  -1.0721076216518429E-003         569           1         145
   25.657691430000003       -2.0761007118219280E-002  -2.1975278397528053E-004         714           1         145
   25.657691430000003       -2.0446528023879740E-002  -6.4476924311615341E-004         720           1         145
   25.657691430000003       -2.0078497563092972E-002  -1.3914677313559911E-003         732           1         145
   25.657691430000003       -2.0728449365076076E-002  -1.1181815822597820E-003         760           1         145
   25.657691430000003       -2.0268749996841189E-002  -8.6700866303711496E-004         761           1         145
   25.657691430000003       -2.0728383736547784E-002  -1.5486579208561723E-003         776           1         145
