 z     x     y     pID   elem_type  elem_sequence
   1.8427499999999957        2.8325189778883483E-002   1.4675158567172726E-002           1           0           5
   1.8427499999999957       -2.8325189778883483E-002   1.4675158567172726E-002        3825           0           5
   1.9363749999999942        2.8382011948566079E-002   1.1448796530875173E-002          11           0           6
   1.9363749999999942       -2.8382011948566079E-002   1.1448796530875173E-002        3811           0           6
   2.0049999999999937        5.4212338972191567E-003   2.8438063632041613E-002           3           1           7
   2.0469999999999935        2.9124233299762745E-002   1.0316627325444862E-002          25           1           7
   2.1099999999999932        2.8421056593690097E-002   1.6063724228240681E-002          26           1           7
   2.1099999999999932        2.8976778261448947E-002   9.5055628029647732E-003          42           1           7
   2.1309999999999931        2.8357731949582583E-002   2.0182811013125929E-002          12           1           7
   2.1309999999999931        2.8796459715239708E-002   1.3085859649899473E-002          43           1           7
   2.1519999999999930        2.8423508728754956E-002   1.1103136774153966E-002          62           1           7
   2.0049999999999937       -5.4212338972191533E-003   2.8438063632041613E-002        3827           1           7
   2.0469999999999935       -2.9124233299762773E-002   1.0316627325444873E-002        3794           1           7
   2.1099999999999932       -2.8976778261448947E-002   9.5055628029647732E-003        3775           1           7
   2.1099999999999932       -2.8421056593690097E-002   1.6063724228240681E-002        3795           1           7
   2.1309999999999931       -2.8796459715239708E-002   1.3085859649899473E-002        3776           1           7
   2.1309999999999931       -2.8357731949582583E-002   2.0182811013125929E-002        3812           1           7
   2.1519999999999930       -2.8423508728754956E-002   1.1103136774153966E-002        3754           1           7
   2.1689999999999929        2.8706075790664816E-002   8.8068189537643272E-003          61           0           8
   2.1949999999999927        2.8912091894513610E-002   9.5027033165675824E-003          84           0           8
   2.2079999999999926        2.8854670947508088E-002   1.5282078299889638E-002          44           0           8
   2.2079999999999926        2.8958449045053281E-002   1.3054658195381003E-002          63           0           8
   2.2209999999999925        2.8842403467710668E-002   1.1237195499534426E-002          85           0           8
   2.2339999999999924        2.8698797995657985E-002   8.3146156205666441E-003         108           0           8
   2.2469999999999923        2.8948218346828491E-002   1.7431536725854693E-002          27           0           8
   2.2469999999999923        2.8847837181771710E-002   7.9221111783682290E-003          83           0           8
   2.2469999999999923        2.8856886978488275E-002   9.7225299023080448E-003         109           0           8
   2.2729999999999921        2.8389688329710533E-002   1.3831319449594202E-002          64           0           8
   2.2729999999999921        2.8772464967376427E-002   1.2138152917861680E-002          86           0           8
   2.2729999999999921        2.8316934850952040E-002   1.0770166736662161E-002         110           0           8
   2.2859999999999920        2.8716759743357148E-002   2.2148581266882995E-002           2           0           8
   2.2729999999999921        2.8473175487199683E-002   8.5208376785995289E-003         134           0           8
   2.2859999999999920        2.8753314983609838E-002   7.2407243593073465E-003         133           0           8
   2.2339999999999924       -2.8698797995657985E-002   8.3146156205666441E-003        3705           0           8
   2.2469999999999923       -2.8856886978488275E-002   9.7225299023080448E-003        3706           0           8
   2.2729999999999921       -2.8473175487199683E-002   8.5208376785995289E-003        3679           0           8
   2.2729999999999921       -2.8316934850952040E-002   1.0770166736662161E-002        3707           0           8
   2.2859999999999920       -2.8753314983609838E-002   7.2407243593073387E-003        3678           0           8
   2.1689999999999929       -2.8706075790664816E-002   8.8068189537643272E-003        3753           0           8
   2.1949999999999927       -2.8912091894513599E-002   9.5027033165675772E-003        3730           0           8
   2.2079999999999926       -2.8958449045053281E-002   1.3054658195381003E-002        3755           0           8
   2.2079999999999926       -2.8854670947508088E-002   1.5282078299889638E-002        3777           0           8
   2.2209999999999925       -2.8842403467710661E-002   1.1237195499534417E-002        3731           0           8
   2.2469999999999923       -2.8847837181771710E-002   7.9221111783682220E-003        3729           0           8
   2.2469999999999923       -2.8948218346828491E-002   1.7431536725854693E-002        3796           0           8
   2.2729999999999921       -2.8772464967376427E-002   1.2138152917861638E-002        3732           0           8
   2.2729999999999921       -2.8389688329710533E-002   1.3831319449594202E-002        3756           0           8
   2.2859999999999920       -2.8716759743357148E-002   2.2148581266882995E-002        3826           0           8
   2.3239999999999919        2.8730951219324216E-002   1.5014282987767750E-002          45           1           9
   2.3449999999999918        2.8501126704284376E-002   6.9198660524112518E-003         107           1           9
   2.3449999999999918        2.8617374015355725E-002   1.1012577724466760E-002         111           1           9
   2.3659999999999917        2.8642745676850892E-002   1.2202501694070731E-002          87           1           9
   2.3029999999999919        2.8759141536873690E-002   9.3510119416279833E-003         135           1           9
   2.3239999999999919        2.8771747800405107E-002   7.3947915365758232E-003         161           1           9
   2.3449999999999918        2.8315741555982325E-002   9.9194398479782141E-003         136           1           9
   2.3449999999999918        2.8851585057992794E-002   8.2307948708176364E-003         162           1           9
   2.3659999999999917        2.8689944028794261E-002   6.3778902050506412E-003         160           1           9
   2.4079999999999915        2.8295470503068080E-002   9.0027479726758914E-003         163           1           9
   2.3029999999999919       -2.8759141536873690E-002   9.3510119416279781E-003        3680           1           9
   2.3239999999999919       -2.8771747800405107E-002   7.3947915365758232E-003        3651           1           9
   2.3449999999999918       -2.8851585057992794E-002   8.2307948708176364E-003        3652           1           9
   2.3449999999999918       -2.8315741555982318E-002   9.9194398479782141E-003        3681           1           9
   2.3449999999999918       -2.8501126704284376E-002   6.9198660524112518E-003        3704           1           9
   2.3449999999999918       -2.8617374015355725E-002   1.1012577724466760E-002        3708           1           9
   2.3659999999999917       -2.8689944028794261E-002   6.3778902050506412E-003        3650           1           9
   2.4079999999999915       -2.8295470503068080E-002   9.0027479726758914E-003        3653           1           9
   2.3239999999999919       -2.8730951219324216E-002   1.5014282987767750E-002        3778           1           9
   2.3659999999999917       -2.8642745676850892E-002   1.2202501694070719E-002        3733           1           9
   3.2516519142899827        2.3620161546379873E-002   9.9881674127212973E-003          13           4          15
   3.2516519142899827        2.2294338040329386E-002   9.3500317904067227E-003          28           4          15
   3.2516519142899827        2.1441789587603732E-002   8.7481113967466193E-003          46           4          15
   3.2516519142899827        2.3797776763279176E-002   8.0283428656152036E-003          65           4          15
   3.2516519142899827        2.0713635771168065E-002   8.1791300451343960E-003          66           4          15
   3.2516519142899827        2.2314550437648108E-002   7.5797959006308315E-003          88           4          15
   3.2516519142899827        2.0008274380384418E-002   7.6400073044781578E-003          89           4          15
   3.2516519142899827        2.3057775301303377E-002   7.0395725914561670E-003         112           4          15
   3.2516519142899827        2.1087272534984682E-002   7.1266863518679273E-003         113           4          15
   3.3982595714499833        2.0216925389190399E-002   4.0999616549518012E-003         114           4          15
   3.2516519142899827        2.3195390468804571E-002   6.5643792534692338E-003         137           4          15
   3.2516519142899827        2.1565994113865335E-002   6.6560990058839213E-003         138           4          15
   3.2516519142899827        2.0009577634545483E-002   6.6790987416097611E-003         139           4          15
   3.2516519142899827        2.2909725181923683E-002   6.1440822371631202E-003         164           4          15
   3.2516519142899827        2.1603269376002106E-002   6.2292254536918416E-003         165           4          15
   3.2516519142899827        2.0287769676783963E-002   6.2613035503345368E-003         166           4          15
   3.2516519142899827        2.1466091920041647E-002   5.2779807013546721E-003         188           4          15
   3.2516519142899827        2.3338701671641225E-002   5.4336717994227426E-003         189           4          15
   3.2516519142899827        2.3616536755747465E-002   5.5345102156607821E-003         190           4          15
   3.2516519142899827        2.3161414328562845E-002   5.6535578552042564E-003         191           4          15
   3.2516519142899827        2.2333137250578172E-002   5.7620150911457703E-003         192           4          15
   3.2516519142899827        2.1321078669993443E-002   5.8385077051308076E-003         193           4          15
   3.2516519142899827        2.0238965045513615E-002   5.8734582833196288E-003         194           4          15
   3.2516519142899827        2.1594159867485183E-002   4.9952495114346579E-003         219           4          15
   3.2516519142899827        2.2209464773738259E-002   5.1705105409472294E-003         220           4          15
   3.2516519142899827        2.2090677564124982E-002   5.2978971472599345E-003         221           4          15
   3.2516519142899827        2.1564893445363196E-002   5.4005150269986904E-003         222           4          15
   3.2516519142899827        2.0813526398537920E-002   5.4729998836914890E-003         223           4          15
   3.3249557428699830        2.0019861429535751E-002   3.9920873578886320E-003         218           4          15
