 z     x     y     pID   elem_type  elem_sequence
   67.7054211457992       2.842712283640711E-002 -7.879422839134819E-003
        3494           1         139
   93.9180551470949      -2.833558312198848E-002  2.538019308860181E-003
        3103           1          64
   427.398488587882       2.842492625029059E-002  7.686912062411898E-003
        3675           1         139
   430.393488587880       2.855669393372169E-002  9.869147196255706E-003
         748           1         166
   547.303177735237       2.833357017911599E-002 -8.256522315936085E-003
        3613           1         139
   707.155096598423      -2.880125823309896E-002 -9.768152252580264E-003
         697           1         139
   733.351355599707       2.837044332845751E-002 -3.939798734373241E-004
        3499           0          63
   775.412960315513      -2.830607707072689E-002 -6.017251804621226E-003
         625           1          84
   827.038785745812      -2.862741989851445E-002  7.388189877123670E-003
         786           1         139
   853.314419747096       2.851466248304292E-002  4.782974516599250E-004
        3060           1          64
   1013.16633861028      -2.847301211289574E-002 -3.898126914512234E-004
         408           1          64
   1106.85839375679      -2.834458240167600E-002  6.801609441292131E-003
        3452           1         139
   1186.79485318877       2.845515852849877E-002 -7.937628324110683E-003
        3644           1         139
   1190.17185318882       2.474079950511263E-003  2.841059580745532E-002
         340           1         168
   1372.90140605418       2.839678539165301E-002  9.699330356510489E-004
         418           1          64
   1438.22726977061      -2.834776104934469E-002  1.074866310211883E-002
        3521           1         219
   1506.51969091672      -2.838088018498155E-002  9.481405367826936E-003
         614           1         139
   1546.50892063271      -2.833005915130810E-002  8.027284259822453E-003
         629           1         139
   1692.68924378213       2.845141237526316E-002 -1.116966792125381E-003
         308           1          64
   1706.38183949669       2.859020844600271E-002 -1.041503139151719E-002
         668           1         139
   1852.39728764610      -2.830529411947776E-002 -8.057573442572699E-004
         211           0          63
   1932.45662207809       2.841582008678899E-002  1.194772956694501E-003
        3597           1          64
   1946.17021779265       2.836084606502493E-002  8.240708682439285E-003
        3102           1         139
   2092.35054094188      -2.841011917020939E-002  1.372606113667328E-003
        3612           1          64
   2160.65040465806       2.857504694299612E-002  1.073332204557405E-002
         781           1           9
   2200.57663437390       2.837387113805575E-002  9.801771829258527E-003
         797           1           9
   2225.98982580386       2.831759838115651E-002 -9.653925129438376E-003
         477           1         139
   2345.89451495136       2.839411109948249E-002 -7.922236748506705E-003
        3676           1         139
   2372.10714895272       2.830304576392835E-002  5.188490816199417E-003
        3523           1          64
   2585.66189324637       2.841955791521357E-002  8.712603685201981E-003
        3444           1         139
   2625.67212296220       2.843183750748627E-002  6.699917725736355E-003
         700           1         139
   2757.19985039557       2.844219007337327E-002 -1.030405177558010E-002
        3568           1         219
   2771.68807111106      -2.848755254043472E-002  1.386710603013549E-003
         593           0          63
   2771.78944611106      -2.835687944802082E-002 -2.770385784745449E-003
         480           1          64
   2811.75767582690       2.829147755811571E-002  1.115751631161514E-003
        3480           1          64
   2851.76790554273      -2.839648140873861E-002 -1.233005016133324E-003
         197           1          64
   2905.44973097304       2.829628795827532E-002 -9.464898146504527E-003
         288           1         139
   3025.33342012054       2.830618898483514E-002 -9.464673563834689E-003
        3157           1         139
   3051.58805412190      -2.838167690252676E-002 -8.160643026888418E-004
         442           1          64
   3051.54605412190       2.844912379843682E-002 -1.073255410540706E-003
        3516           1          64
   3091.59828383774       2.835900461265984E-002  1.753535491272666E-003
         704           1          64
   3305.04802813138       2.833864629523569E-002 -9.291165157520652E-003
        3349           1         139
   3385.04748756305       2.844808820213742E-002 -7.144917892554893E-003
        3202           1         139
   3464.98394699472      -2.838321669418187E-002 -8.618115105036815E-003
         448           1         139
