 z     x     y     pID   elem_type  elem_sequence
   14.0445957155001       2.832066217649944E-002 -3.261111304570644E-004
        3599           1          64
   147.620880577391       2.846030930341523E-002 -9.613944621019211E-003
        3108           1         139
   267.546569724779      -2.835236365918157E-002 -1.064115423382329E-002
        3531           1         139
   333.769433441838      -2.845505475359304E-002  2.710414376365556E-003
        3365           1          64
   507.334948019433       2.829680902052160E-002 -9.130364343930107E-003
         386           1         139
   627.218637166830       2.843264768680899E-002  1.082086758016842E-002
        3420           1         139
   761.783364600000       2.841395849918920E-002 -7.579976592740198E-003
         310           1           9
   801.751594315796      -2.834566150809261E-002  9.689825491924270E-003
         753           1           9
   893.303649462893      -2.845160302634325E-002  1.779296468437894E-003
        3370           1          64
   906.975245177405      -2.844975279935652E-002  9.018313079215599E-003
        3421           1         139
   1186.79485318877       2.839793411814813E-002 -6.724610159245806E-003
        3750           1         139
   1281.32835090666       2.828771030736258E-002  1.002495808944553E-002
         510           1           9
   1386.61500176874      -2.848644954238538E-002 -1.084454762125878E-002
         463           1         139
   1452.87986548617       2.846037043582559E-002  7.356478964341950E-004
        3284           1          64
   1892.40851736209       2.829198027528891E-002 -1.046606707145990E-003
        3230           0          63
   1986.07944750864       2.858936179676445E-002  1.047207797999807E-002
         425           0         138
   2385.86274466720       2.844010144809531E-002  8.949073528099084E-003
        3415           1         139
   2425.76797438303      -2.835945402020438E-002 -7.839606262075553E-003
        3419           1         139
   2505.76743381470       2.840625762761656E-002 -8.413202350233255E-003
        3147           1         139
   2625.58812296220       2.867215609300109E-002 -1.006570919531628E-002
         754           1         139
   2705.60858239387      -2.834127338164481E-002 -5.697735768521633E-003
        3328           1         139
   2785.50304182554       2.865692777642857E-002  1.064484018874224E-002
         592           1         139
   3011.68282440607       2.833637813588665E-002 -1.242729140714313E-003
        3422           1          64
   3171.51374326941      -2.835828850528731E-002  1.589166971832851E-003
         613           1          64
   3265.14279841555       2.837467870160308E-002  7.183916969863722E-003
        3479           1         139
   3291.43943241691      -2.829053877752607E-002 -1.852274977375482E-003
         241           1          64
   3744.74055500556      -2.850459912784976E-002 -7.166738867434637E-003
         319           1         139
   3959.24174187060       2.845393085470265E-002 -1.048530686768527E-002
         629           1           9
   3972.85033758609       2.836964574612662E-002  5.600950259616988E-003
         210           1          84
   4090.76202673359      -2.843538740194922E-002  2.243928508929534E-003
        3403           1          64
   4170.69848616521      -2.842791683443539E-002 -1.814877697454991E-003
        3062           1          64
   4490.44432389169       2.828689938426091E-002 -1.089012808040085E-003
         314           1          64
   4515.82295789208      -2.829595842712822E-002 -8.005469397017241E-003
         343           1         219
   4518.73395789203       2.875670088881293E-002  9.837421745448141E-003
        3643           1           9
   4823.86175733267      -2.843341445619781E-002 -9.560320169054866E-003
         513           1         139
   4863.80898704848      -2.868397236305512E-002  1.121207774116588E-002
         225           1         139
   4863.89298704848       2.837321287844735E-002 -5.976441890594997E-003
        3268           1         139
   4903.81921676429      -2.830076921673133E-002  1.120005169323241E-002
         407           1         139
   4903.84021676429      -2.843801381090858E-002 -8.496264712972299E-003
         700           1         139
   4969.96220548142       2.834809499329469E-002  4.532233725561499E-004
         373           0          63
   5063.71313562753       2.848873670426911E-002  9.384716031237575E-003
        3371           1         139
   5089.94676962885      -2.832963309698232E-002  3.971838188164365E-004
        3446           1          64
   5103.70236534335       2.836550769886269E-002 -7.408312996965970E-003
        3481           1         139
   5303.45951392240       2.871994514403893E-002 -8.267608934469759E-003
         740           1         139
   5369.74537763953       2.851824916801397E-002  1.212760123175853E-003
        3018           1          64
   5463.41643278564       2.835146811503293E-002 -7.201460340164137E-003
          96           1         139
   5649.50198565020      -2.831596405147124E-002 -7.956509575145615E-004
         406           1          64
   6089.15251252412       2.856092058361679E-002 -4.234132993724427E-004
         616           1          64
   6169.06797195574      -2.847792422697275E-002 -2.377605606151663E-005
        2974           1          64
   6222.77079738604      -2.874297494718682E-002 -8.911891900047262E-003
         665           1         139
   6502.54840539672       2.870963090865325E-002  9.690668480593903E-003
        3265           1         139
   6862.26247283901      -2.856467308384016E-002  8.125404514182536E-003
        3305           1         139
   6928.52733655614       2.840190876905255E-002  3.027362537805427E-003
        3536           1          64
   7048.43202570357       2.842371274330051E-002  1.307378260211701E-003
         447           1          64
   7142.06108084969       2.852563687588797E-002 -8.454072135941439E-003
        3266           1         139
   7182.02931056550      -2.837603554501956E-002 -6.536330282955504E-003
          57           1         139
   7222.01854028131       2.842070394292498E-002 -1.125359419063537E-002
        3364           1         139
   7261.94476999712       2.845167912283636E-002 -1.039869385072725E-002
         738           1         139
   7408.08309314587      -2.843365818043388E-002  9.620060771018679E-004
         743           1          64
   7541.72237800779      -2.842821405106968E-002 -8.657850059930012E-003
        3409           1         139
   7581.73260772360      -2.841189869480909E-002  8.126767847883961E-003
        3333           1         139
   7781.55275630266      -2.850527290709585E-002  8.906641330371244E-003
        3017           1         139
   7796.19179458850      -2.835588556285994E-002 -9.574566444498677E-003
        3205           1           9
   7821.54198601847       2.838175558669297E-002  8.432314550752461E-003
         574           1         139
   8007.66953888303       2.830932805234298E-002  1.360128539286708E-003
        3549           1          64
   8021.34113459752      -2.858539214713078E-002 -9.236022904403942E-003
         790           1         139
   8061.33036431333       2.847418822352577E-002  9.498432322979991E-003
         474           1         139
   8407.35183604119      -2.846461575767316E-002 -1.285885040256339E-003
        3202           1          64
   8432.70947004144       2.833452623763593E-002  1.068155596001774E-002
        3520           1         219
   8461.01266147170       2.841759542481367E-002 -9.338267780936530E-003
        3240           1         139
   8487.20942047280      -2.846295795736082E-002  2.057285347275581E-005
         663           0          63
   8527.23552518861       2.849226418030474E-002  1.248632743520121E-003
         536           1          64
   8966.75292706247       2.829925260520725E-002 -3.314989757581989E-005
        3455           0          63
   9020.52587749300       2.838514247359454E-002  8.950378336437640E-003
        3608           1         139
   9020.56787749300       2.837233397095212E-002  9.120981744433281E-003
        3383           1         139
   9060.51510720881      -2.834970218443677E-002  9.686710642534275E-003
        3447           1         139
