 z     x     y     pID   elem_type  elem_sequence
   4.8417882857999857        5.8803858728273012E-002  -1.3794833764295815E-002          79           0          22
   4.9697428312545320        5.9387418221777524E-002   9.8216496009429638E-003          13           0          23
   5.0311265210941016       -5.9916528366784481E-002  -5.0877853523240649E-003          76           1          24
   44.974650354543670       -5.8867983940915330E-002  -1.2409789568418768E-002          16           1          24
   44.974650354543670        6.0184731372011482E-002  -4.4893677968141608E-003         104           1          24
   84.930527129153589        6.0467052958507017E-002   1.7053359867004114E-003          63           1          24
   84.967585952682967        5.9947120051159944E-002  -4.1448854599901840E-003          94           1          24
   124.93581566846028        5.9821885772254127E-002   5.8869023062538784E-003          29           1          24
   150.55855704794587       -6.0422346580177727E-002  -3.4050401970617096E-003         110           1         158
   479.02360953083382       -5.9423654048655086E-002   8.6823592280301197E-003          91           1         214
   710.10176326560111       -6.0794172480017485E-002  -3.1200377478006851E-003         127           0         157
   1483.8679789481939       -5.9924088752344541E-002  -4.5468099168489073E-003          88           1          24
   1643.7656036939425       -5.9611603280347147E-002  -7.0556314941575245E-003          19           1          24
   2403.0403439639176        6.0024415701839133E-002  -3.1002834830883385E-003          67           0          23
   3062.6377586081821       -5.9946578228579926E-002  -3.9190724567387787E-003          98           1         131
   3313.8016943322414        6.0281810073489844E-002   3.8110002600718083E-004          87           1         190
   4281.6811178850303        6.0062035943781115E-002   1.0939409566122233E-003          17           1          24
   5757.7584614518355        5.9058993864913638E-002   1.2038917802728137E-002         106           1           7
   6062.8909667779089        6.0390937507887064E-002  -3.4778148020636325E-004           4           1         148
   6979.4501531413416       -6.0001706439501368E-002  -2.4371540932844392E-003          46           1         131
   7758.8063077405113        6.0950605613873922E-002   1.3068835868874746E-003          62           0          23
   8398.2979831951943        6.0115794933876018E-002  -2.0854088362981149E-003         102           0          23
   9588.7519950333117       -5.9688856238820850E-002   8.9357497345310070E-003          77           1         190
   10996.186551053894        6.0720930752733569E-002  -3.7820515583090880E-003          99           0          23
   13833.977224477158        6.0274933059303960E-002   5.7056972354908786E-003          32           0          23
   14933.164925338519       -6.0388346001421948E-002   1.7369188607541331E-004          23           1         131
   18213.245153224278       -6.0308584582111177E-002   3.2619489904125239E-003          35           1         148
   18535.932216437232       -5.9976603345808968E-002  -3.0490976231438566E-003          78           0         157
   28142.640140387484        6.0354190045109307E-002  -1.3848848600546116E-003          36           1          24
   37095.523596355350        6.0445071638033109E-002  -1.3176911887985171E-003          84           1          24
   38799.910809200774        6.0069816619493357E-002   3.7805375471596544E-003          59           1         158
