 z     x     y     pID   elem_type  elem_sequence
   4.9215191429000056       -6.9881999968317930E-003   5.7939790006858363E-003          84           6          50
   4.9215191429000056       -6.8458773143972992E-003   1.6056306243402078E-004         507           6          50
   4.9215191429000056       -6.9541824236346817E-003   1.3347581777935704E-003         589           6          50
   4.9215191429000056       -6.8085170603609992E-003  -8.5069244340976573E-004         752           6          50
   4.9215191429000056       -6.7042824607162566E-003  -3.6706201582486918E-003        1297           6          50
   4.9215191429000056        6.1448730741237188E-003  -6.3980007258967455E-003        1371           6          50
   4.9215191429000056       -6.7305038611946968E-003  -5.1113101097636860E-003        1458           6          50
   4.9215191429000056        7.4245738887859809E-003   2.2373418901099986E-003        1554           6          50
   4.9215191429000056        6.7387996804437250E-003  -2.2760496368012142E-003        1594           6          50
   4.9215191429000056       -6.0641023049419198E-003  -5.1152822761307663E-003        1894           6          50
   4.9215191429000056       -7.0676333291874553E-003  -5.0658134295072932E-004        1983           6          50
   4.9215191429000056       -6.4479107334842502E-003   6.0406793720591788E-003        2514           6          50
   4.9215191429000056        7.1603607460853057E-003   2.7900043139628215E-003        2605           6          50
   4.9215191429000056        6.8384196238128175E-003  -8.7493041914184417E-004        2772           6          50
   4.9215191429000056        7.1298955651209056E-003   5.0384709225107542E-003        2933           6          50
   4.9215191429000056        6.4835319028873203E-003  -3.5167968025131380E-003        3220           6          50
   4.9215191429000056        6.0231576508932589E-003  -4.2272574609828664E-003        3304           6          50
   4.9215191429000056        5.0849145798850543E-003   6.2940025067889640E-003        3414           6          50
   4.9215191429000056       -4.7787718656466492E-003  -6.6756316389461161E-003        3497           6          50
   4.9215191429000056       -6.8045501399642359E-003   2.4773746502331556E-003        3771           6          50
   4.9215191429000056        7.2952565404493406E-003  -1.6817258998763551E-003        3786           6          50
   4.9215191429000056       -7.2488209342780226E-003   1.2277680084243456E-003        4027           6          50
   4.9215191429000056       -5.7718473051505655E-003  -5.4319936521489394E-003        4290           6          50
   4.9215191429000056       -6.3807323762577637E-003  -4.5792388423592113E-003        4481           6          50
   4.9215191429000056        7.2183349117188869E-003  -1.8529617430280984E-003        4869           6          50
   4.9415191429000052        5.9675454065724071E-003   4.1088656307167971E-003        2665           6          50
   5.0215191429000035        5.9938546504674515E-003   2.5911490702833074E-003        3634           6          50
   5.3215191428999971        4.4853947093408380E-003   3.0383158050511939E-003        4391           6          50
   5.3615191428999962       -4.8581869867879946E-003   2.7033980197744824E-004        3380           6          50
   5.4015191428999954       -4.6543004507266740E-003  -1.1569292772902345E-003        3544           6          50
   5.4215191428999949        4.6649299704937001E-003  -4.1814492716262345E-005         802           6          50
