Main caption: iota_v8.3_1NL.6ds
X caption: S, cm
Y caption: 


Data1_2: X aperture, cm
s   apertX
0.0  3.4
14.0  3.4
14.0  2.0
69.25  2.0
69.25  3.1
91.25  3.1
112.25  3.1
125.75  3.1
146.75  3.1
155.0  3.1
165.0  3.1
165.0  2.4
313.0  2.4
313.0  2.0
349.651914  2.0
349.651914  2.4
491.151914  2.4
491.151914  0.680513
495.43762828571425  0.659483
499.72334257142853  0.638838
504.0090568571428  0.618614
508.29477114285714  0.598856
512.5804854285714  0.57961
516.8661997142857  0.560929
521.151914  0.542872
525.4376282857143  0.525503
529.7233425714286  0.508892
534.0090568571428  0.493115
538.2947711428571  0.478257
542.5804854285714  0.464404
546.8661997142857  0.451649
551.151914  0.440088
555.4376282857143  0.429817
559.7233425714286  0.42093
564.0090568571429  0.413518
568.2947711428571  0.407659
572.5804854285715  0.403422
576.8661997142857  0.400858
581.151914  0.4
585.4376282857143  0.400858
589.7233425714286  0.403422
594.0090568571429  0.407659
598.2947711428571  0.413518
602.5804854285715  0.42093
606.8661997142857  0.429817
611.151914  0.440088
615.4376282857143  0.451649
619.7233425714286  0.464404
624.0090568571429  0.478257
628.2947711428571  0.493115
632.5804854285715  0.508892
636.8661997142858  0.525503
641.151914  0.542872
645.4376282857143  0.560929
649.7233425714286  0.57961
654.0090568571429  0.598856
658.2947711428571  0.618614
662.5804854285715  0.638838
666.8661997142858  0.659483
671.151914  0.680513
671.151914  2.4
1648.759572  2.4
1648.759572  2.0
1685.411486  2.0
1685.411486  2.4
2311.411486  2.4
2311.411486  2.0
2348.0634  2.0
2348.0634  2.4
3325.671058  2.4
3325.671058  1.25
3505.671058  1.25
3505.671058  2.4
3647.171058  2.4
3647.171058  2.0
3683.822972  2.0
3683.822972  2.4
3823.822972  2.4
3823.822972  3.4
3831.822972  3.4
3841.822972  3.4
3850.072972  3.4
3871.072972  3.4
3884.572972  3.4
3905.572972  3.4
3926.822972  3.4
3926.822972  2.0
3981.822972  2.0
3981.822972  3.4
3996.822972  3.4


Data1: X aperture, cm
s   apertY
0.0  3.4
14.0  3.4
14.0  3.1
69.25  3.1
69.25  2.0
91.25  2.0
112.25  2.0
125.75  2.0
146.75  2.0
155.0  2.0
165.0  2.0
165.0  2.4
313.0  2.4
313.0  2.4
349.651914  2.4
349.651914  2.4
491.151914  2.4
491.151914  0.935705
495.43762828571425  0.90679
499.72334257142853  0.878402
504.0090568571428  0.850595
508.29477114285714  0.823427
512.5804854285714  0.796964
516.8661997142857  0.771278
521.151914  0.746449
525.4376282857143  0.722566
529.7233425714286  0.699726
534.0090568571428  0.678034
538.2947711428571  0.657603
542.5804854285714  0.638555
546.8661997142857  0.621018
551.151914  0.605121
555.4376282857143  0.590998
559.7233425714286  0.578779
564.0090568571429  0.568587
568.2947711428571  0.560531
572.5804854285715  0.554705
576.8661997142857  0.55118
581.151914  0.55
585.4376282857143  0.55118
589.7233425714286  0.554705
594.0090568571429  0.560531
598.2947711428571  0.568587
602.5804854285715  0.578779
606.8661997142857  0.590998
611.151914  0.605121
615.4376282857143  0.621018
619.7233425714286  0.638555
624.0090568571429  0.657603
628.2947711428571  0.678034
632.5804854285715  0.699726
636.8661997142858  0.722566
641.151914  0.746449
645.4376282857143  0.771278
649.7233425714286  0.796964
654.0090568571429  0.823427
658.2947711428571  0.850595
662.5804854285715  0.878402
666.8661997142858  0.90679
671.151914  0.935705
671.151914  2.4
1648.759572  2.4
1648.759572  2.4
1685.411486  2.4
1685.411486  2.4
2311.411486  2.4
2311.411486  2.4
2348.0634  2.4
2348.0634  2.4
3325.671058  2.4
3325.671058  1.25
3505.671058  1.25
3505.671058  2.4
3647.171058  2.4
3647.171058  2.4
3683.822972  2.4
3683.822972  2.4
3823.822972  2.4
3823.822972  3.4
3831.822972  3.4
3841.822972  3.4
3850.072972  3.4
3871.072972  3.4
3884.572972  3.4
3905.572972  3.4
3926.822972  3.4
3917.656305333333  3.4000000000000004
3926.822972  3.2
3981.822972  2.0
3981.822972  3.4
3989.322972  3.4
3996.822972  3.4
